"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"USUM71502494";3768;2320374;124;4;88,4;65,7;9,77;0;15,4;48,9;107,059;3,91155;313,857142857143;0;16767;15;6509044;466;9334329;26990176;148481425;4503963;0;"Kendrick Lamar";"King Kunta";"2015-03-16";"HipHop/Rap";"Universal Music";0;"good"
"NLR1T1900004";236202;203364;7;1;64,2;49,4;20,9;0,32;10,1;12,2;86,509;4,30121666666667;107,285714285714;0;35;36;0;0;575539;2129320;7696499;48831;0;"Snelle feat. Raw Roets";"Meer Dan M'n Best";"2019-01-10";"Pop";"Independent";0;"poor"
"CZW851600022";214203;2038;2;1;69,4;77,6;4,28;10,1;14,3;51,8;127,998;3,29761666666667;227;0;17;45;15048582;1962;9372;104892;153260;757;30101;"Poetika";"Každou vteřinou";"2016-11-13";"Pop";"Universal Music";0;"excellent"
"PL59G1900010";1336124;1252974;48;1;67,3;72,1;30,6;0;34,3;83,5;147,005;2,9049;67,2857142857143;0;8;40;0;72;425225;557001;596095;7592;0;"chillwagon";"tęczowy music box";"2019-11-14";"Pop";"Independent";0;"excellent"
"USUM71307668";1916;72556;4;2;85,3;59,9;4,11;0,000793;7,59;84,3;119,993;4,39711666666667;428,714285714286;0;14717;75;2133477;11400;676719;4628724;40455683;933485;18152956;"Robin Thicke feat. T.I. feat. Pharrell Williams";"Blurred Lines";"2013-01-01";"Pop";"Universal Music";0;"good"
"QMDNX1410057";206351;1084449;29;1;72,9;50,7;4,86;0;26;96,1;154,926;3,03311666666667;342,285714285714;0;491;66;264574869;32;1530746;4357837;13126642;749348;0;"Banda Los Recoditos";"Me Sobrabas Tú";"2014-08-29";"other";"Universal Music";0;"fair"
"MXF011700032";155463;3179354;160;2;69,5;82,6;8,17;0;25,8;54,5;103,985;3,76111666666667;208,285714285714;0;507;56;145292167;25400;964367;5830534;28928857;920549;227752;"Río Roma feat. CNCO";"Princesa (feat. CNCO)";"2017-03-16";"other";"Sony Music";0;"excellent"
"USAT22006250";5211;1428235;93;2;78,4;82,6;9,29;0;12,5;26,9;103,913;3,23076666666667;21,2857142857143;0;154;59;0;21;125058;8218012;60117020;130073;0;"Matoma feat. Emma Steinbakken";"WOW (with Emma Steinbakken)";"2020-10-22";"Electro/Dance";"Warner Music";0;"fair"
"BRWNV1900378";4612;82490;1;1;55,2;60,9;6,49;0;99,1;54,1;117,888;2,57595;47,2857142857143;0;90;49;0;0;10141349;6145543;32280946;5500589;0;"Henrique & Juliano";"Quando a Gente Sabe - Ao Vivo";"2020-04-24";"other";"Independent";0;"fair"
"NLS5K1800056";207943;23657;1;1;72,5;77,2;33,5;0;8,53;73,2;141,001;3,0964;146,571428571429;0;20;6;280986;0;0;228932;839680;4755;0;"BKO feat. Seffelinie";"Trapspot";"2018-05-29";"Pop";"Independent";0;"fair"
